x,y,Color
19.335748976534116,10.287956587515657,#a145c5
82.1204141553311,46.59140058386204,#a145c5
16.947442780908496,80.51287313291787,#00bc74
93.481356209534,11.139677680282901,#ffe520
18.577844948660506,26.595612195188632,#1b9fd9
31.389427308293815,11.58580250520319,#ffe520
13.074807901269814,26.917227021918688,#e03e48
48.77095763443722,43.52515084189673,#e03e48
33.48316490242519,8.795475060204227,#1b9fd9
35.426429749155076,87.80188922746731,#ffe520
3.197772166615731,94.41071405005678,#1b9fd9
39.639543422512894,1.1026623777574573,#1b9fd9
91.95590359633758,29.48714427377732,#a145c5
63.97348518766478,17.561492926594468,#1b9fd9
49.46382747848941,91.90947574893211,#ffe520
37.979549133420534,73.09106047463371,#a145c5
19.189062333404284,94.48988666515021,#00bc74
87.29582809908348,99.19099693850322,#a145c5
25.963376532487047,75.35654403501304,#ffe520
39.25217127152349,34.39590857966574,#00bc74
98.70929736845493,19.34611666451127,#e03e48
76.33210917767906,36.87587010715412,#1b9fd9
22.668008084811696,2.4760219045925624,#a145c5
82.86086274654737,17.82103748487308,#a145c5
64.75713997872012,8.205611011561587,#00bc74
0.49264677539296864,53.808751562148785,#a145c5
27.129677187670108,24.197621273301372,#ffe520
73.23224711504355,50.44610478686392,#e03e48
93.1888144257677,50.26245446084038,#e03e48
42.95031005365596,50.24815406113942,#e03e48
85.6509968542314,21.507078578187254,#00bc74
30.443902448536086,78.50336035943134,#e03e48
52.88720574420262,57.73916406154633,#a145c5
12.776084547926658,23.825871164648248,#00bc74
77.53461017425819,13.413572761045355,#00bc74
50.36871907234212,92.65977692805136,#e03e48
3.18399308237467,98.9005628016884,#e03e48
43.854180068652916,44.35867373610649,#ffe520
63.57535168581556,34.98231326624527,#e03e48
66.57340971334816,23.009297290656463,#ffe520
67.29078940331844,74.6476796059568,#00bc74
10.426542085712576,81.75915003934571,#ffe520
53.337136102935055,66.40002524581425,#00bc74
40.24428589150716,49.787729269053024,#00bc74
18.00324603862982,16.010779264275676,#e03e48
74.68708128714628,23.319823294919452,#00bc74
5.671164552915176,56.48023841057983,#1b9fd9
28.127964534287575,26.08344970794517,#ffe520
33.7949896596608,49.47357828757085,#00bc74
60.03009159919268,2.0660649130086806,#1b9fd9
97.0130760863815,29.355939390424258,#e03e48
35.44381405685839,64.873103893915,#a145c5
68.32149097747117,47.306360586025335,#00bc74
14.440290895291874,7.486444693309602,#e03e48
2.136936866325112,63.742572049900836,#a145c5
98.72977582573962,24.06269259470696,#00bc74
35.01647610679288,83.32419561566937,#a145c5
30.456492588693806,42.07121203159727,#a145c5
55.822491653582475,27.690580738453484,#00bc74
22.041041332263557,30.257795883548432,#1b9fd9
27.062961805973075,47.83791391784187,#ffe520
94.1844842977206,84.83914947019655,#a145c5
66.29485072775998,10.995543978148492,#1b9fd9
24.674706267085334,60.141409868647735,#1b9fd9
96.3302204199051,98.62167129499636,#00bc74
64.34199538205083,64.7817376102183,#1b9fd9
40.82493304398034,92.19212752652409,#080808
62.8027345995181,73.82723092070968,#1b9fd9
29.866185408161204,39.9571049161413,#e03e48
41.450695091556064,76.72217604557791,#ffe520
15.430237971383098,28.83155512603922,#1b9fd9
27.81283479500961,19.389306390478577,#e03e48
48.837668967049694,68.13723814919258,#a145c5
36.95306308620203,70.76707299002123,#e03e48
80.23378009025124,43.19889774080908,#ffe520
30.268252667986538,99.3122962893292,#e03e48
83.24260044338337,49.32754866040675,#e03e48
45.782721571102044,55.722545598774,#1b9fd9
48.91433758212245,21.293316822014496,#a145c5
65.34509460332744,74.77579386185545,#00bc74
36.33585732723791,91.28236060788575,#a145c5
67.75222407138693,55.901491180069115,#1b9fd9
32.60726066010216,58.058196123100224,#ffe520
41.90465986789225,83.55790430872914,#ffe520
37.81259696772502,45.21952620240474,#e03e48
41.70793964496657,40.25437150942388,#1b9fd9
41.067411384285094,81.66855807457713,#ffe520
57.508723890365786,45.09055156279936,#ffe520
11.079190397381156,10.740185276222281,#1b9fd9
29.617425704734192,13.411754663405917,#a145c5
13.758321901486726,48.767799858314184,#ffe520
99.76886231422492,36.57520406666331,#ffe520
52.57286004413035,18.293610044960584,#1b9fd9
4.6730598206557,15.835916498829006,#1b9fd9
32.306605008919234,63.89456832825376,#e03e48
25.364187092547684,91.35394662029948,#a145c5
63.48573631289285,26.402413097364462,#00bc74
28.297120208570135,96.37660568256418,#00bc74
29.943754789261988,63.78089655163005,#a145c5
4.071745204174437,44.00518160247216,#00bc74
80.09245175054916,26.703763277279833,#ffe520
